name,drug_class,usage_en,dosage_en,onset_time,duration,side_effects_en,how_it_works_en,why_prescribed_en,treatment_goal_en,lifestyle_recommendations_en,warnings_en,clinical_efficacy_score,patient_adherence_rate,risk_level_score,synergy_potential,target_disease_severity_handled,treatment_success_probability
Lisinopril,ACE Inhibitor,Hypertension,10-40 mg,30 mins,12 hours,Insomnia,Mechanism of action regulates bodily pathways specific to ace inhibitor.,Prescribed to treat and manage symptoms associated with hypertension.,Stabilize patient condition and mitigate long-term impacts of hypertension.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,88,3,7,8,0.8659999999999999
Amlodipine,Calcium Channel Blocker,Hypertension,5-10 mg,2 hours,24 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to calcium channel blocker.,Prescribed to treat and manage symptoms associated with hypertension.,Stabilize patient condition and mitigate long-term impacts of hypertension.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,78,3,5,8,0.766
Metformin,Biguanide,Type 2 Diabetes,500-2000 mg,1 hour,12 hours,Insomnia,Mechanism of action regulates bodily pathways specific to biguanide.,Prescribed to treat and manage symptoms associated with type 2 diabetes.,Stabilize patient condition and mitigate long-term impacts of type 2 diabetes.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,83,3,8,8,0.866
Atorvastatin,Statin,High Cholesterol,10-80 mg,24 hours,12 hours,Stomach upset,Mechanism of action regulates bodily pathways specific to statin.,Prescribed to treat and manage symptoms associated with high cholesterol.,Stabilize patient condition and mitigate long-term impacts of high cholesterol.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,83,4,8,9,0.7659999999999999
Levothyroxine,Thyroid Hormone,Hypothyroidism,25-200 mcg,1-2 weeks,12 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to thyroid hormone.,Prescribed to treat and manage symptoms associated with hypothyroidism.,Stabilize patient condition and mitigate long-term impacts of hypothyroidism.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,80,1,6,5,0.8599999999999999
Amoxicillin,Antibiotic,Bacterial Infection,250-500 mg,30 mins,24 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to antibiotic.,Prescribed to treat and manage symptoms associated with bacterial infection.,Stabilize patient condition and mitigate long-term impacts of bacterial infection.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,84,1,5,6,0.9480000000000001
Azithromycin,Macrolide Antibiotic,Bacterial Infection,250-500 mg,24 hours,12 hours,Stomach upset,Mechanism of action regulates bodily pathways specific to macrolide antibiotic.,Prescribed to treat and manage symptoms associated with bacterial infection.,Stabilize patient condition and mitigate long-term impacts of bacterial infection.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,87,4,8,9,0.7739999999999999
Omeprazole,Proton Pump Inhibitor,Acid Reflux,20-40 mg,1 hour,48 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to proton pump inhibitor.,Prescribed to treat and manage symptoms associated with acid reflux.,Stabilize patient condition and mitigate long-term impacts of acid reflux.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,62,5,5,8,0.6839999999999999
Losartan,ARB,Hypertension,25-100 mg,1-2 weeks,6 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to arb.,Prescribed to treat and manage symptoms associated with hypertension.,Stabilize patient condition and mitigate long-term impacts of hypertension.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,5,77,4,3,7,0.674
Albuterol,Bronchodilator,Asthma,1-2 puffs,1 hour,48 hours,Constipation,Mechanism of action regulates bodily pathways specific to bronchodilator.,Prescribed to treat and manage symptoms associated with asthma.,Stabilize patient condition and mitigate long-term impacts of asthma.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,68,2,7,5,0.806
Gabapentin,Anticonvulsant,Nerve Pain,300-1200 mg,2 hours,24 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to anticonvulsant.,Prescribed to treat and manage symptoms associated with nerve pain.,Stabilize patient condition and mitigate long-term impacts of nerve pain.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,87,4,6,8,0.8140000000000001
Sertraline,SSRI,Depression,50-200 mg,2 hours,12 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to ssri.,Prescribed to treat and manage symptoms associated with depression.,Stabilize patient condition and mitigate long-term impacts of depression.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,73,1,6,5,0.8759999999999999
Simvastatin,Statin,High Cholesterol,10-40 mg,1-2 weeks,12 hours,Constipation,Mechanism of action regulates bodily pathways specific to statin.,Prescribed to treat and manage symptoms associated with high cholesterol.,Stabilize patient condition and mitigate long-term impacts of high cholesterol.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,61,2,6,9,0.8420000000000001
Montelukast,Leukotriene Receptor Antagonist,Asthma,10 mg,2 hours,6 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to leukotriene receptor antagonist.,Prescribed to treat and manage symptoms associated with asthma.,Stabilize patient condition and mitigate long-term impacts of asthma.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,77,2,6,5,0.9040000000000001
Pantoprazole,Proton Pump Inhibitor,Acid Reflux,20-40 mg,1-2 weeks,12 hours,Dry Mouth,Mechanism of action regulates bodily pathways specific to proton pump inhibitor.,Prescribed to treat and manage symptoms associated with acid reflux.,Stabilize patient condition and mitigate long-term impacts of acid reflux.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,73,4,3,9,0.696
Escitalopram,SSRI,Anxiety,10-20 mg,30 mins,6 hours,Insomnia,Mechanism of action regulates bodily pathways specific to ssri.,Prescribed to treat and manage symptoms associated with anxiety.,Stabilize patient condition and mitigate long-term impacts of anxiety.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,75,5,4,8,0.76
Fluoxetine,SSRI,Depression,20-60 mg,24 hours,6 hours,Stomach upset,Mechanism of action regulates bodily pathways specific to ssri.,Prescribed to treat and manage symptoms associated with depression.,Stabilize patient condition and mitigate long-term impacts of depression.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,6,84,4,6,7,0.748
Rosuvastatin,Statin,High Cholesterol,5-40 mg,1 hour,12 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to statin.,Prescribed to treat and manage symptoms associated with high cholesterol.,Stabilize patient condition and mitigate long-term impacts of high cholesterol.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,88,5,3,4,0.776
Bupropion,NDRI,Depression,150-300 mg,1 hour,6 hours,Dizziness; Nausea,Mechanism of action regulates bodily pathways specific to ndri.,Prescribed to treat and manage symptoms associated with depression.,Stabilize patient condition and mitigate long-term impacts of depression.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,5,83,1,6,6,0.8360000000000001
Doxycycline,Tetracycline Antibiotic,Bacterial Infection,100-200 mg,1 hour,12 hours,Dry Mouth,Mechanism of action regulates bodily pathways specific to tetracycline antibiotic.,Prescribed to treat and manage symptoms associated with bacterial infection.,Stabilize patient condition and mitigate long-term impacts of bacterial infection.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,76,3,5,4,0.792
Meloxicam,NSAID,Arthritis,7.5-15 mg,2 hours,48 hours,Insomnia,Mechanism of action regulates bodily pathways specific to nsaid.,Prescribed to treat and manage symptoms associated with arthritis.,Stabilize patient condition and mitigate long-term impacts of arthritis.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,64,2,4,4,0.798
Clopidogrel,Antiplatelet,Blood Clots,75 mg,2 hours,24 hours,Constipation,Mechanism of action regulates bodily pathways specific to antiplatelet.,Prescribed to treat and manage symptoms associated with blood clots.,Stabilize patient condition and mitigate long-term impacts of blood clots.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,66,1,6,5,0.8919999999999999
Propranolol,Beta-blocker,Anxiety/Tremors,10-40 mg,2 hours,24 hours,Insomnia,Mechanism of action regulates bodily pathways specific to beta-blocker.,Prescribed to treat and manage symptoms associated with anxiety/tremors.,Stabilize patient condition and mitigate long-term impacts of anxiety/tremors.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,5,82,5,5,7,0.6640000000000001
Aspirin,NSAID,Pain,81-325 mg,2 hours,12 hours,Stomach upset,Mechanism of action regulates bodily pathways specific to nsaid.,Prescribed to treat and manage symptoms associated with pain.,Stabilize patient condition and mitigate long-term impacts of pain.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,94,1,5,8,0.9079999999999999
Citalopram,SSRI,Depression,20-40 mg,1 hour,24 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to ssri.,Prescribed to treat and manage symptoms associated with depression.,Stabilize patient condition and mitigate long-term impacts of depression.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,60,5,4,9,0.6699999999999999
Trazodone,SARI,Insomnia,50-100 mg,1-2 weeks,48 hours,Constipation,Mechanism of action regulates bodily pathways specific to sari.,Prescribed to treat and manage symptoms associated with insomnia.,Stabilize patient condition and mitigate long-term impacts of insomnia.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,7,68,2,4,7,0.806
Carvedilol,Beta-blocker,Heart Failure,3.125-25 mg,24 hours,24 hours,Insomnia,Mechanism of action regulates bodily pathways specific to beta-blocker.,Prescribed to treat and manage symptoms associated with heart failure.,Stabilize patient condition and mitigate long-term impacts of heart failure.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,91,1,6,8,0.972
Metoprolol,Beta-blocker,Hypertension,25-100 mg,2 hours,12 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to beta-blocker.,Prescribed to treat and manage symptoms associated with hypertension.,Stabilize patient condition and mitigate long-term impacts of hypertension.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,89,5,7,6,0.788
Duloxetine,SNRI,Nerve Pain,30-60 mg,30 mins,6 hours,Dry Mouth,Mechanism of action regulates bodily pathways specific to snri.,Prescribed to treat and manage symptoms associated with nerve pain.,Stabilize patient condition and mitigate long-term impacts of nerve pain.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,9,72,3,5,9,0.8440000000000001
Venlafaxine,SNRI,Anxiety,75-225 mg,2 hours,12 hours,Fatigue; Headache,Mechanism of action regulates bodily pathways specific to snri.,Prescribed to treat and manage symptoms associated with anxiety.,Stabilize patient condition and mitigate long-term impacts of anxiety.,Maintain healthy diet; Exercise regularly; Stay hydrated,Follow clinical instructions; Consult healthcare provider before stopping,8,61,2,7,9,0.8520000000000001
